Year,Make,Model,Car Name,Wheel Drive,Colour,Odometer,Inv,VIN,Retail,Price
2016,Chrysler,200 LX FWD,Chrysler 200,FWD,Black,32706,I,1C3CCCFB6GN197742,AUTO,14995
2016,Dodge,Grand Caravan Canada Value Package FWD,Dodge Grand,FWD,White,78304,I,2C4RDGBG6GR106905,AUTO,14300
2016,FIAT,500X Sport AWD,FIAT 500X,AWD,WHITE,77651,I,ZFBCFYBTXGP401383,AUTO,14985
2016,Ford,Escape SE 4WD,Ford Escape,4WD,Grey,64064,I,1FMCU9GX1GUA86880,AUTO,19600
2016,Ford,Escape SE 4WD,Ford Escape,4WD,Grey,69160,I,1FMCU9G92GUC01973,AUTO,17900
2016,Ford,Fiesta SE FWD,Ford Fiesta,FWD,Black,17444,I,3FADP4EJ0GM186433,AUTO,12700
2016,Ford,Focus Titanium FWD,Ford Focus,FWD,RED,40209,I,1FADP3N20GL286956,AUTO,16300
2016,Ford,Focus SE FWD,Ford Focus,FWD,Grey,51707,I,1FADP3K29GL384615,AUTO,12995
2016,Ford,Focus SE FWD,Ford Focus,FWD,White,23834,I,1FADP3F22GL349313,AUTO,13300
2016,Ford,Fusion SE AWD,Ford Fusion,AWD,White,77348,I,3FA6P0T93GR293358,AUTO,16300
2016,Ford,Fusion SE FWD,Ford Fusion,FWD,Grey,110017,I,3FA6P0H79GR167853,AUTO,12995
2016,Ford,Mustang EcoBoost Premium RWD,Ford Mustang,RWD,Black,62448,I,1FATP8UH0G5248954,AUTO,21700
2016,GMC,Canyon 2WD RWD,GMC Canyon,RWD,Brown,51189,I,1GTG5BEA1G1254494,AUTO,21700
2016,Honda,Civic Coupe LX FWD,Honda Civic,FWD,Black,67141,I,2HGFC4B59GH400759,AUTO,17300
2016,Honda,CR-V SE AWD,Honda CR-V,AWD,Silver,60289,I,2HKRM4H49GH128082,AUTO,22700
2016,Honda,HR-V LX FWD,Honda HR-V,FWD,Black,67310,I,3CZRU5H34GM104841,AUTO,17995
2016,Hyundai,Elantra Limited FWD,Hyundai Elantra,FWD,Silver,69858,I,KMHDH4AH9GU607714,AUTO,15995
2016,Hyundai,Veloster SE FWD,Hyundai Veloster,FWD,silver,55015,I,KMHTC6AD5GU297287,AUTO,15995
2016,Jeep,Cherokee Sport FWD,Jeep Cherokee,FWD,White,73087,I,1C4PJLAB7GW369832,AUTO,16700
2016,Jeep,Cherokee North FWD,Jeep Cherokee,FWD,Grey,60185,I,1C4PJLCB1GW264460,AUTO,17700
